Number,Year,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
P,1864,0,0,0,0,1,0,0,1,1,0,0,0
P,1868,1,1,0,0,0,0,1,1,1,0,1,0
P,1872,1,1,0,0,1,0,1,0,0,0,1,0
P,1880,1,0,0,1,0,0,1,1,0,0,0,0
P,1888,0,0,0,0,1,0,0,0,0,0,0,0
P,1900,0,1,0,0,1,0,1,0,0,0,0,1
P,1904,1,1,0,0,1,0,0,0,0,0,1,0
P,1908,1,1,0,0,0,0,0,1,0,0,0,1
P,1916,0,0,0,0,1,0,0,1,0,0,0,0
P,1924,0,1,1,0,1,0,1,1,0,1,0,0
P,1928,1,1,0,0,0,0,1,0,0,0,0,0
P,1936,0,1,0,0,1,1,1,1,0,0,1,0
P,1940,1,1,0,0,1,1,1,1,0,0,1,0
P,1944,1,1,0,0,1,0,1,1,0,0,1,0
P,1948,1,1,1,0,1,0,0,1,0,0,0,0
P,1956,0,1,0,0,1,0,0,0,0,0,1,0
P,1964,0,0,0,0,1,0,1,0,0,0,0,0
P,1972,0,0,0,0,1,0,1,1,1,0,0,0
O,1860,1,0,1,1,0,0,1,0,1,0,0,0
O,1876,1,1,0,1,0,1,0,0,0,1,0,0
O,1884,1,0,0,1,0,0,1,0,1,0,1,0
O,1892,0,0,1,0,1,0,0,1,1,0,0,1
O,1896,0,0,0,1,0,1,0,1,1,0,1,0
O,1912,1,1,1,1,1,0,1,0,0,0,0,0
O,1920,1,0,0,1,0,0,0,1,1,0,0,0
O,1932,1,1,0,0,1,1,0,0,1,0,0,1
O,1952,1,0,0,1,0,0,1,0,0,1,0,1
O,1960,1,1,0,0,0,1,0,0,0,0,0,1
O,1968,1,1,1,1,0,0,1,1,1,0,0,0
O,1976,1,1,0,1,1,0,0,0,0,1,0,0
O,1980,0,0,1,1,1,1,0,0,0,1,0,1